userType,access,anomaly,name
admin,create,0,Teresita
manager,all,0,Allayne
admin,read,0,Avril
manager,all,0,Nikolaos
associate,all,0,Isadore
admin,create,0,Shawnee
associate,create,1,Zach
admin,create,0,Irina
associate,all,0,Louisette
admin,create,0,Reinwald
associate,all,0,Stanton
admin,create,0,Caldwell
associate,create,0,Rupert
associate,create,0,Ginger
associate,all,0,Carlos
manager,all,0,Silvio
admin,read,0,Rosamund
manager,all,1,Gerrie
admin,read,0,Doug
admin,create,0,Boote
admin,create,0,Valentine
associate,create,1,Allegra
associate,create,1,Terence
associate,all,0,Elene
associate,create,0,Cornall
associate,create,0,Antonie
admin,read,0,Lockwood
admin,read,0,Justinn
admin,read,0,Adamo
associate,create,0,Bridie
associate,all,0,Ranna
admin,create,0,Nyssa
admin,create,0,Gordy
admin,read,0,Valentijn
associate,all,0,Loralyn
manager,all,0,Corty
manager,all,0,Gustie
admin,create,0,Lyda
associate,all,0,Emelina
associate,create,0,Cheslie
admin,create,1,Worth
admin,create,0,Marianna
associate,create,0,Jaime
manager,all,0,Stefano
associate,create,0,Julina
manager,all,0,Nedi
admin,create,0,Graham
associate,create,0,Lorilyn
admin,read,0,Joya
associate,all,0,Nickolai
associate,create,0,Amie
associate,all,0,Leta
manager,all,0,Blanch
associate,all,0,Worth
manager,all,0,Tracie
associate,create,0,Wilton
manager,all,0,Ruben
manager,all,0,Vince
admin,create,0,Nestor
admin,read,0,Jemimah
admin,read,0,Luca
associate,create,0,Jonah
associate,create,0,Rossy
associate,create,0,Daisi
admin,create,0,Clarice
admin,read,0,Gwyneth
manager,all,0,Hailee
admin,read,0,Ariadne
associate,all,0,Kaycee
associate,create,0,Garreth
admin,read,0,Lulita
admin,create,0,Nancy
associate,all,1,Pierre
associate,create,0,Scarface
admin,create,0,Arman
associate,all,0,Melina
admin,read,0,Grady
admin,create,1,Adena
manager,all,0,Northrop
associate,create,0,Luce
admin,read,0,Elfrida
associate,create,0,Giovanna
associate,all,0,Willi
associate,all,1,Worthington
admin,create,1,Marian
admin,create,0,Sheeree
manager,all,0,Faina
admin,read,0,Malena
admin,read,0,Christy
associate,all,0,Brynne
manager,all,0,Mitchael
admin,read,0,Feodor
associate,create,1,Ancell
associate,all,0,Sydelle
manager,all,0,Belia
manager,all,0,Cherice
admin,create,0,Jackie
manager,all,0,Calli
associate,all,0,Dickie
admin,read,0,Garrott
admin,read,0,Alexina
admin,create,0,Ernaline
associate,create,0,Ashlie
manager,all,0,Dieter
admin,create,0,Haily
associate,create,0,Amandi
associate,create,0,Hasty
manager,all,0,Max
associate,create,0,Emmalee
associate,all,0,Nance
associate,all,0,Case
admin,create,0,Mel
admin,create,0,Mendie
associate,create,0,Berke
admin,create,0,Gretta
admin,create,0,Nessie
manager,all,0,Jenn
admin,read,0,Tobe
manager,all,0,Forrest
associate,create,0,Kaycee
associate,all,0,Jena
admin,read,0,Byrann
associate,all,0,Willa
admin,create,0,Elihu
associate,create,0,Suzy
admin,read,0,Katti
associate,all,0,Paulita
manager,all,0,Ealasaid
admin,create,0,Elissa
manager,all,0,Spense
admin,create,0,Wallace
manager,all,0,Jonell
admin,read,0,Clemence
admin,create,1,Nels
associate,create,0,Rey
admin,read,0,Philippine
admin,create,0,Ethe
associate,create,1,Mella
admin,create,0,Arleen
admin,read,0,Earlie
admin,read,0,Sallyann
associate,all,0,Leupold
associate,create,0,Tildy
manager,all,0,Morissa
admin,read,0,Alisha
associate,create,0,Randee
manager,all,1,Lizzie
manager,all,0,Joyann
admin,create,1,Claudelle
associate,all,0,Fredelia
associate,all,0,Krishnah
associate,all,0,Nelli
associate,create,0,Paquito
admin,create,0,Guillema
manager,all,0,Fidela
admin,read,0,Sascha
associate,all,0,Lacy
admin,create,0,Harris
admin,read,0,Abagail
manager,all,0,Dukey
associate,create,1,Victor
associate,create,0,Ichabod
manager,all,0,Chrotoem
associate,create,0,Neils
associate,create,0,Theressa
admin,read,0,Moyra
admin,read,0,Daphne
manager,all,0,Sorcha
admin,read,0,Vevay
manager,all,0,Friedrick
manager,all,0,Chadwick
admin,read,0,Boyce
associate,all,0,Shea
admin,read,0,Giles
admin,create,0,Catlin
manager,all,0,Cooper
associate,all,0,Rebeca
manager,all,0,Daniella
associate,all,0,Sheppard
admin,read,0,Westbrooke
admin,read,0,Shep
associate,create,1,Roxana
admin,create,1,Hilda
admin,create,0,Dot
admin,create,0,Corny
admin,create,0,Jeromy
admin,create,1,Bryana
associate,create,0,Aileen
associate,create,0,Kelwin
manager,all,0,Natividad
